CMDLINE /home/ppginf/mroliveira/Documentos/my-graph-library/venv/bin/python3.6 feature_generator.py --dataset r8 --strategy pmi --window 20 --emb_dim 100 --cut_percent 10
MEM 0.871094 1599622267.2829
MEM 1090.058594 1599622327.3433
MEM 1870.757812 1599622387.4032
MEM 1872.375000 1599622447.4635
MEM 1877.285156 1599622507.5238
MEM 1879.808594 1599622567.5832
MEM 1880.710938 1599622627.6436
MEM 1887.539062 1599622687.7032
MEM 1887.593750 1599622747.7632
MEM 1883.085938 1599622807.8236
MEM 1888.089844 1599622867.8839
MEM 1888.160156 1599622927.9432
MEM 1888.679688 1599622988.0034
MEM 1888.722656 1599623048.0637
MEM 1885.445312 1599623108.1121
MEM 1886.523438 1599623168.1712
MEM 1887.273438 1599623228.2315
MEM 1887.289062 1599623288.2918
MEM 1886.875000 1599623348.3512
MEM 1889.582031 1599623408.4112
MEM 1889.703125 1599623468.4712
MEM 1889.710938 1599623528.5315
MEM 1889.722656 1599623588.5918
MEM 1889.476562 1599623648.6522
MEM 1898.128906 1599623708.7125
MEM 1898.949219 1599623768.7728
MEM 1900.074219 1599623828.8312
MEM 1900.074219 1599623888.8915
MEM 1900.406250 1599623948.9518
MEM 1901.289062 1599624009.0122
MEM 1901.289062 1599624069.0726
MEM 1892.359375 1599624129.1329
MEM 1893.800781 1599624189.1933
MEM 1896.257812 1599624249.2536
MEM 1895.160156 1599624309.3139
MEM 1898.699219 1599624369.3712
MEM 1897.894531 1599624429.4312
MEM 1902.375000 1599624489.4552
MEM 1902.398438 1599624549.4912
MEM 1909.425781 1599624609.5072
MEM 1909.425781 1599624669.5352
MEM 1909.425781 1599624729.5552
MEM 1909.812500 1599624789.6151
MEM 1898.757812 1599624849.6755
MEM 1901.882812 1599624909.7358
MEM 1910.093750 1599624969.7432
MEM 1910.089844 1599625029.8032
MEM 1910.433594 1599625089.8632
MEM 1910.492188 1599625149.9235
MEM 1910.695312 1599625209.9839
MEM 1911.140625 1599625270.0443
MEM 1915.523438 1599625330.1050
MEM 1915.531250 1599625390.1653
MEM 1915.996094 1599625450.2257
MEM 1901.332031 1599625510.2832
MEM 1915.957031 1599625570.3435
MEM 1916.101562 1599625630.3712
MEM 1916.101562 1599625690.3922
MEM 1906.097656 1599625750.4273
MEM 1915.937500 1599625810.4792
MEM 1915.937500 1599625870.4952
MEM 1915.941406 1599625930.5556
MEM 1916.941406 1599625990.6159
MEM 1916.937500 1599626050.6432
MEM 1917.058594 1599626110.6712
MEM 1917.437500 1599626170.7152
MEM 1917.824219 1599626230.7755
MEM 1920.167969 1599626290.8033
MEM 1920.359375 1599626350.8632
MEM 1921.417969 1599626410.9235
MEM 1915.351562 1599626470.9838
MEM 1915.390625 1599626531.0441
MEM 1912.800781 1599626591.1032
MEM 1914.878906 1599626651.1635
MEM 1925.542969 1599626711.2232
MEM 1925.546875 1599626771.2832
MEM 1925.058594 1599626831.3435
MEM 1925.058594 1599626891.4038
MEM 1916.996094 1599626951.4641
MEM 1920.824219 1599627011.5245
MEM 1920.828125 1599627071.5832
MEM 1920.835938 1599627131.5992
MEM 1927.320312 1599627191.6595
MEM 1927.363281 1599627251.7197
MEM 1927.742188 1599627311.7801
MEM 1934.164062 1599627371.8403
MEM 1934.164062 1599627431.9006
MEM 1934.167969 1599627491.9609
MEM 1934.175781 1599627552.0212
MEM 1934.183594 1599627612.0815
MEM 1934.179688 1599627672.1121
MEM 1934.183594 1599627732.1312
MEM 1934.183594 1599627792.1916
MEM 1935.875000 1599627852.1992
MEM 1935.878906 1599627912.2112
MEM 1935.890625 1599627972.2592
MEM 1935.886719 1599628032.2872
MEM 1936.484375 1599628092.3032
MEM 1936.566406 1599628152.3636
MEM 1936.890625 1599628212.3673
MEM 1939.250000 1599628272.3712
MEM 1938.984375 1599628332.3992
MEM 1939.687500 1599628392.4212
MEM 1928.746094 1599628452.4512
MEM 1934.722656 1599628512.5115
MEM 1940.824219 1599628572.5672
MEM 1943.179688 1599628632.5911
MEM 1931.046875 1599628692.6515
MEM 1941.539062 1599628752.7112
MEM 1941.535156 1599628812.7712
MEM 1941.851562 1599628872.8315
MEM 1941.855469 1599628932.8919
MEM 1941.351562 1599628992.9512
MEM 1937.230469 1599629053.0115
MEM 1939.636719 1599629113.0718
MEM 1948.125000 1599629173.1321
MEM 1948.136719 1599629233.1924
MEM 1937.160156 1599629293.2527
MEM 1937.179688 1599629353.3130
MEM 1940.406250 1599629413.3734
MEM 1940.410156 1599629473.4337
MEM 1940.406250 1599629533.4940
MEM 1941.171875 1599629593.5544
MEM 1948.636719 1599629653.6147
MEM 1948.640625 1599629713.6712
MEM 1948.640625 1599629773.7315
MEM 1948.601562 1599629833.7918
MEM 1939.324219 1599629893.8521
MEM 1949.601562 1599629953.9124
MEM 1949.609375 1599630013.9713
MEM 1949.613281 1599630074.0316
MEM 1949.757812 1599630134.0919
MEM 1950.046875 1599630194.1512
MEM 1950.542969 1599630254.2114
MEM 1955.296875 1599630314.2717
MEM 1955.355469 1599630374.3320
MEM 1955.355469 1599630434.3923
MEM 1940.687500 1599630494.4525
MEM 1948.316406 1599630554.5128
MEM 1948.324219 1599630614.5731
MEM 1955.746094 1599630674.6312
MEM 1955.500000 1599630734.6916
MEM 1955.824219 1599630794.7518
MEM 1955.824219 1599630854.8122
MEM 1955.828125 1599630914.8712
MEM 1956.113281 1599630974.9316
MEM 1958.117188 1599631034.9920
MEM 1958.765625 1599631095.0152
MEM 1959.140625 1599631155.0672
MEM 1959.140625 1599631215.0952
