CMDLINE /home/ppginf/mroliveira/Documentos/my-graph-library/venv/bin/python3.6 feature_generator.py --dataset webkb --strategy chi_square --window 12 --emb_dim 100 --cut_percent 80
MEM 1.566406 1630281049.4535
MEM 425.648438 1630281109.5105
MEM 599.367188 1630281169.5705
MEM 602.808594 1630281229.6305
MEM 607.761719 1630281289.6904
MEM 609.417969 1630281349.7502
MEM 610.597656 1630281409.8100
MEM 612.042969 1630281469.8705
MEM 614.886719 1630281529.9301
MEM 616.468750 1630281589.9901
MEM 619.882812 1630281650.0507
MEM 620.871094 1630281710.1101
MEM 622.335938 1630281770.1701
MEM 623.578125 1630281830.2301
MEM 624.523438 1630281890.2901
MEM 625.492188 1630281950.3501
MEM 626.386719 1630282010.4100
MEM 627.601562 1630282070.4702
MEM 630.093750 1630282130.5302
MEM 630.820312 1630282190.5901
MEM 631.769531 1630282250.6501
MEM 632.695312 1630282310.7101
MEM 633.621094 1630282370.7702
MEM 634.500000 1630282430.8301
MEM 636.488281 1630282490.8900
MEM 637.730469 1630282550.9505
MEM 638.593750 1630282611.0101
MEM 639.929688 1630282671.0700
MEM 640.421875 1630282731.1302
MEM 641.503906 1630282791.1901
MEM 644.218750 1630282851.2502
MEM 645.437500 1630282911.3101
MEM 646.148438 1630282971.3701
MEM 649.332031 1630283031.4302
MEM 659.300781 1630283091.4901
MEM 712.527344 1630283151.5501
MEM 678.070312 1630283211.6101
MEM 673.027344 1630283271.6701
MEM 672.964844 1630283331.7301
MEM 673.039062 1630283391.7901
MEM 672.242188 1630283451.8501
MEM 672.347656 1630283511.9101
MEM 672.355469 1630283571.9701
MEM 672.371094 1630283632.0302
MEM 672.343750 1630283692.0901
MEM 672.410156 1630283752.1501
MEM 672.386719 1630283812.2101
MEM 672.386719 1630283872.2701
MEM 672.394531 1630283932.3301
MEM 674.496094 1630283992.3901
MEM 674.519531 1630284052.4501
MEM 674.468750 1630284112.5104
MEM 674.550781 1630284172.5700
MEM 675.328125 1630284232.6300
MEM 676.683594 1630284292.6900
MEM 677.878906 1630284352.7500
MEM 678.972656 1630284412.8100
MEM 680.160156 1630284472.8700
MEM 683.125000 1630284532.9300
MEM 684.644531 1630284592.9904
MEM 685.492188 1630284653.0500
MEM 686.035156 1630284713.1088
MEM 687.167969 1630284773.1660
MEM 688.511719 1630284833.2264
MEM 689.500000 1630284893.2860
MEM 690.539062 1630284953.3459
MEM 692.570312 1630285013.4060
MEM 693.687500 1630285073.4406
MEM 695.562500 1630285133.4980
MEM 696.875000 1630285193.5100
MEM 697.656250 1630285253.5700
MEM 699.019531 1630285313.6299
MEM 701.953125 1630285373.6900
MEM 702.746094 1630285433.7500
MEM 703.636719 1630285493.8103
MEM 705.070312 1630285553.8700
MEM 706.738281 1630285613.9300
MEM 707.539062 1630285673.9900
MEM 708.578125 1630285734.0500
MEM 709.601562 1630285794.1100
MEM 711.179688 1630285854.1700
MEM 712.859375 1630285914.2300
MEM 714.371094 1630285974.2380
MEM 715.402344 1630286034.2979
MEM 717.351562 1630286094.3580
MEM 719.523438 1630286154.4180
MEM 721.011719 1630286214.4784
MEM 722.585938 1630286274.5387
MEM 724.550781 1630286334.5483
MEM 726.957031 1630286394.6060
MEM 728.035156 1630286454.6660
MEM 729.882812 1630286514.7259
MEM 731.683594 1630286574.7860
MEM 732.937500 1630286634.8459
MEM 734.250000 1630286694.9059
MEM 736.484375 1630286754.9662
MEM 739.390625 1630286815.0260
MEM 740.699219 1630286875.0860
MEM 741.800781 1630286935.1459
MEM 743.441406 1630286995.2060
MEM 745.035156 1630287055.2660
MEM 745.957031 1630287115.3259
MEM 747.488281 1630287175.3864
MEM 747.957031 1630287235.4460
MEM 749.667969 1630287295.5060
MEM 751.097656 1630287355.5661
MEM 751.621094 1630287415.6260
MEM 752.406250 1630287475.6861
MEM 753.437500 1630287535.7462
MEM 754.828125 1630287595.8060
MEM 756.015625 1630287655.8660
MEM 757.140625 1630287715.9260
MEM 757.917969 1630287775.9860
MEM 759.441406 1630287836.0461
MEM 759.917969 1630287896.1059
MEM 761.593750 1630287956.1660
MEM 763.585938 1630288016.2261
MEM 764.269531 1630288076.2860
MEM 765.265625 1630288136.3460
MEM 766.343750 1630288196.4060
